Number,Short description,Assignment group,Close notes,Tags,Classification
INC3634877,Unable to connect server redwh in SI,AZTEC.GAP.PAAS-SAS-CL-2ND,The issue was resolved without any particular action,AZ Reinsurance, SAS Server Issue
INC2566456,Win7 - SAS Enterprise kein zugriff auf Datenbank,AMOS.BIS.B2-DBA,"30.01.2019 10:10:11   ws_hp_spoc
   (HPINCIDENT)
AWin meldet dass sie probleme hat mit dem Zugriff auf einem Datenbank in SAS Enterprise. Sie bekkomt eine FM (siehe Anhang) als sie versucht auf dem Datenbank einzuloggen. APKVREPORA APKVDWH ist der Datenbank. +49 89 3800 60969 bis 12 Uhr.

User reports that she has problems accessing a database in SAS Enterprise. She gets an EM (see attachment) when she tries to log in to the database. APKVREPORA APKVDWH is the database. +49 89 3800 60969 until 12 o'clock.

Benutzte LDB-ID: 39176

betroffene SAS Komponente / affected SAS component: SAS Enterprise
betroffene Anwendung/Projekt / affected application or project: n/a
technischer User / technical user: normal
Problembeschreibung / problem description: siehe oben/see above
01.02.2019 10:41:49   ws_snow_prod
   (SNOW) Do you have some time to have a WebEx session on this issue?
Do you have some time to have a WebEx session on this issue?
04.02.2019 09:35:01   ws_snow_prod
   (SNOW) Dear Sonia,
Could you please let me know your best time to have a WebEx session on this issue?
04.02.2019 14:36:55   ws_snow_prod
   (SNOW) As per WebEx session, user was unable to connect to APKVDWH library after running the libname statement.
04.02.2019 14:37:03   ws_snow_prod
   (SNOW) Sonia.PNG
04.02.2019 14:39:03   ws_snow_prod
   (SNOW) Dear Oracle Team,
Please look into this issue.
07.02.2019 12:36:55   ws_hp_spoc
   (HPINCIDENT) user cannot work, she says she wants to speed up the solving of this issue, kinldy assist, she is in   the office today until 14 pm germna time and then again on monday she is in the office
07.02.2019 14:43:55   uxxegsz
   Please provide username, database name and server where database are hosted (you can provide your connection string)

Error looks like you use wrong username or password for this user.
07.02.2019 15:10:51   ws_snow_prod
   (SNOW) Dear Sonia,
Oracle team is looking for the below details, please provide.

Please provide username, database name and server where database are hosted (you can provide your connection string)
Error looks like you use wrong username or password for this user.
Dear Sonia,
Oracle team is looking for the below details, please provide.

Please provide username, database name and server where database are hosted (you can provide your connection string)
Error looks like you use wrong username or password for this user.
11.02.2019 07:38:10   ws_snow_prod
   (SNOW) We sent follow-up email to user. Awaiting reply from user.
12.02.2019 11:14:08   ws_snow_prod
   (SNOW) Dear UNIX Team,
Please see the details from the user:

username  p943973
database name  
servernname  apkvrep
12.02.2019 11:17:00   ws_snow_prod
   (SNOW) Dear UNIX Team, 
Please see the details from the user. Please see the attached screenshots for error messages.

username p943973 
database name 
servernname apkvrep
13.02.2019 10:49:55   uxxegsz
   It's look like this is not our scope.
to be sure please provide server name in sla* format.
13.02.2019 11:16:25   ws_snow_prod
   (SNOW) Dear DBA Team,
Please look into this issue.
13.02.2019 11:38:54   nmzqznz
   Problem steht im Anhang drin.

Username und PWD passen nicht.


Bitte das Passwort im ALEF für diese Connection ändern.

Ticket zurück zum Absender.
Bitte User informieren
13.02.2019 11:55:44   ws_snow_prod
   (SNOW) Dear Team,
User already changed the password several times but still it does not work. So please check from your end.
14.02.2019 06:11:18   nmzqznz
   User existier nicht auf der AKDWHDMP


06:09:27 BICOLADM@AKDWHDMP_dm1302  select count(*) from dba_users where username ='P943973';
  COUNT(*)
----------
         0



Ticket wird geschlossen und die Kundin darauf hingewiesen.",AZ Germany,
INC2609511,SAS - SAS Personal Login Manager 9.4 - Anwendung startet nicht - FM kommt,AZTEC.GAP.PAAS-SAS-CL-2ND,"Dear Team,
As per mail confirmation that you're now access the SAS ,it may be temporary access issue that was caused for you.
So we're closing this ticket. PFA
Thank you.
Regards,
D Srinivasulu",AZ Germany, SAS Access Issue
INC3911123,SAS-PROD: Problem with Job running,AZTEC.GAP.PAAS-SAS-CL-2ND,"Issue with GPFS. Server was rebooted.
All ok now :-)",AZ Germany, SAS GPFS
INC2501976,SAS-PROD: set Applicationowner,AZTEC.GAP.PAAS-SAS-CL-2ND,"Dear Team,
As per your request, We have added attached listed user as a app owner's. same has been conveyed over the phone to you. PFA latest app owner's list.
So as of now we're closing this ticket with you acceptance.
Thank you.
Regards,
D Srinivasulu",AZ Germany, SAS Access Issue
INC3128545,PROD-Opsteu: Define ApplOwner,AZTEC.GAP.PAAS-SAS-CL-2ND,"K7499 (Zeien, Christoph) has been added as Applowner for project opsteu on PROD-environment.",AZ Germany, SAS Service Requests
INC2747550,SAS-DEV: LSF is down,AMOS.BIS.B4-IPC,"12.03.2019 08:31:11   ls95sa
   Environment: DEV
Project: Opsteu

Dear colleagues,

there are These error messages:

kfrar009:/var/opt/data/data_project/opsteu/bin $ ./opsteu_loadjob_copy_tel.sh
LSF is down. Please wait ...
LSF is down. Please wait ...
bsubmit: lsb_submit() : Bad host name, host group name or cluster name
LSF is down. Please wait ...
LSF is down. Please wait ...
LSF is down. Please wait ...
LSF is down. Please wait ...
LSF is down. Please wait ...
LSF is down. Please wait ...
LSF is down. Please wait ...
LSF is down. Please wait ...

Please have a look. Thanks.
12.03.2019 11:07:53   ws_snow_prod
   (SNOW) Hi Sona, Some issue with LSF SBATCHD slave daemon, which was not running.

We have restarted..It should be OK.",AZ Germany, SAS LSF
INC4565559,SAS-INT/PROD: Stored Process error,AZTEC.GAP.PAAS-SAS-CL-2ND,"Incident Description: SAS-INT/PROD: Stored Process error
Issue Type: SAS Server issue
Resolution Steps: Issue has been resolved after restarting objectspwaner for opsteu project in prod and int environment.",AZ Germany, SAS Platform Access/Availability
INC3538865,SAS-allStages- Problem with Filesystem,AZTEC.GAP.PAAS-SAS-CL-2ND,Issue has been resolved and same has been confirmed by user .,AZ Germany, SAS GPFS
INC3500712,Set Application Owner Opsteu / PROD,AZTEC.GAP.PAAS-SAS-CL-2ND,"User has confirmed that Bernd Czerny (m1656 ) can access STP and manage special roles.

we are closing this incident after getting confirmation  from user,",AZ Germany, SAS Access Issue
INC4501087,AZDE CV Restore Test - Opsteu,AZTEC.GAP.PAAS-SAS-CL-2ND,"Incident Description: AZDE CV Restore Test - Opsteu
Issue Type: SAS Service request.
Resolution Steps: Files have been restored by backup team .",AZ Germany, SAS Service Requests
INC4275230,Please delete kfrar008-directory,AZTEC.GAP.PAAS-SAS-CL-2ND,"Incident Description: Please delete kfrar008-directory
Issue Type: Service Request
Resolution Steps: As requested uecm2wq and ls91gnr directories are deleted. Custome has confimed that everthing is fine now after directory deletion.",AZ Germany, SAS Service Requests
INC4726064,SAS-DEV: Opsteu not available,AZTEC.GAP.PAAS-SAS-CL-2ND,"Description: SAS-DEV: Opsteu not available
Issue Type: SAS Server Issue
Resolution Steps: Issue is resolved after restarting object spwaner.User has confirmed the same.",AZ Germany, SAS Platform Access/Availability
INC4503171,SAS-PROD:  repquotas doesn't work,AZTEC.GAP.PAAS-SAS-CL-2ND,"Description : SAS-PROD:  repquotas doesn't work
Type: sas others
Resolution : Script working now. No action from us",AZ Germany, sas configuration
INC3614035,SAS-PROD-OPSTEU: Check application owner,AZTEC.GAP.PAAS-SAS-CL-2ND,"The request to add Mr. Falkner(S35040) as the application owner for the project OPSTEU in Prod has been completed

Thanks",AZ Germany, SAS Others
INC3284349,SAS-INT: LSF Down,AZTEC.GAP.PAAS-SAS-CL-2ND,Resolved,AZ Germany, SAS LSF
INC2932538,DEV: Performance very mean,AZTEC.GAP.PAAS-SAS-CL-2ND,"The issue is resolved after restart of the AZD DEV, INT and PROD UNIX servers.",AZ Germany, SAS Performance
INC3752666,SAS-EG: Option Autocomplete,AZTEC.GAP.PAAS-SAS-CL-2ND,"Issue Type: SAS-EG: Option Autocomplete
Description: User wants to enable Autocomplete option in SAS EG
Resolution: we have guided how to launch SAS EG for the option AutoComplete. As, we disabled it through startSAS.exe",AZ Germany, SAS AVC Client Issue
INC4756123, SAS Access Rights Management - Link GIAM,AZTEC.GAP.PAAS-SAS-CL-2ND,"Description: Modify GIAM hyperlink in  SAS Access Rights Management Page
Issue Type: SAS Service Request
Resolution: As requested Page has been modified with updated link and it is working fine now.",AZ Technology, SAS Service Requests
INC3527215,SAS-PROD-Opsteu: Portal not working,AZTEC.GAP.PAAS-SAS-CL-2ND,After full restart of the AZD Web Portals the issue is resolved. User confirmed that the is resolved.,AZ Germany, SAS Portal issue
INC2993729,Win7 - SAS Portal https://biec.srv.allianz/SASPortal/main.do,AZTEC.GAP.PAAS-SAS-CL-2ND,"The issue is fixed. Upon user confirmation, we are closing this ticket.",AZ Germany, SAS Portal issue
INC3725403,IL-deinstallation request for the software followed by a new installation,AZTEC.GAP.PAAS-SAS-CL-2ND,"Issue type: SAS EG crashes
Description: User running proc compare in EG and it crashes before creating a report suspected and requested  to reinstall the tools.
Solution: Request has been completed and reinstalled.",AZ Germany, SAS AVC Client Issue
INC3179474,"RE: Strange error message in EG (DEV, Opsteu)",AZTEC.GAP.PAAS-SAS-CL-2ND,Resolved,AZ Germany, SAS Others
INC2726535,SAS-DEV-Environment: repquotas doesn't work,AZTEC.GAP.PAAS-SAS-CL-2ND,"As per user confirmation, the issue has been resolved. (PFA Mail confirmation)",AZ Germany, SAS Others
INC4646044,SAS-DEV-Opsteu: remove directory,AZTEC.GAP.PAAS-SAS-CL-2ND,"IT: Remove Directory
D: SAS-DEV-Opsteu: remove directory
R: As requested we have removed the folder.",AZ Germany, SAS Access Issue
INC2536286,SAS-DEV: Performance Issue,AZTEC.GAP.PAAS-SAS-CL-2ND,As per user confirmation we are closing the ticket as of now.,AZ Germany, SAS Performance
INC3500690,Set Application Owner Opsteu / PROD,AZTEC.GAP.PAAS-SAS-CL-2ND,"Dear Sudip,

it seems to be ok. You may close the ticket. Thanks.

Mit freundlichen Grüßen
Sonja Stahl
",AZ Germany, SAS Access Issue
INC2989290,SAS-Prod: Performance issue,AZTEC.GAP.PAAS-SAS-CL-2ND,Resolved,AZ Germany, SAS Performance
INC3266760,ABS Linux,AZTEC.GAP.PAAS-SAS-CL-2ND, Request to remove directory /var/opt/data/data_project/opsteu/data/restore2 and all files in this directory has been successfully completed,AZ Germany, SAS Service Requests
INC4352649,File Restote Request fom backup,AZTEC.GAP.PAAS-SAS-CL-2ND,"Incident Description:File Restote Request fom backup
Issue Type: SAS Service Request
REsolution Steps: File has been restored by backup team. Customer has confirmed that evertyhing is fine .",AZ Germany, SAS Service Requests
INC4699880,SAS-PROD-Opsteu: Add Applicationowner,AZTEC.GAP.PAAS-SAS-CL-2ND,"Incident Description: SAS-PROD-Opsteu: Add Applicationowner
Issue Type: SAS Access
REsolution Steps: Cornelia Lehr ( G057960 ) has been added as Application Owner for OPSTEU project in production environment.",AZ Germany, SAS Access Issue
INC4735720,SAS-PROD: Opsteu: application owner,AZTEC.GAP.PAAS-SAS-CL-2ND,"Desc:SAS-PROD: Opsteu: application owner
Type: SAS service request
Res: Request completed",AZ Germany, SAS Access Issue
INC3634796,SAS Issue - Urgent!,AZTEC.GAP.PAAS-SAS-CL-2ND,The issue has been resolved after restarting the STP service,AZ Reinsurance, SAS Server Issue
INC2809645,Win7 - SAS Enterprise Guise kann nicht geöffnet werden,AZTEC.GAP.PAAS-SAS-CL-2ND,Issue resolved after clearing the SAS profile.,AZ Germany, SAS Access Issue
INC2840631,Failed to connect to the sasguide server from the Win7 virtual machine,AZTEC.GAP.PAAS-SAS-CL-2ND,Advised user to submit a GIAM request to obtain UNIX server and required UNIX groups access.,AZ France, SAS AVC Client Issue
INC2507985,Create Connect Direct Connection,AZTEC.GAP.PAAS-SAS-CL-2ND,"16.01.2019 11:37:55   ykwh77a
   Name:                        Dasaganipalle Srinivasulu
Phone:                       +49 89 3800
Dear Team, This is for PROD.

On behalf of user side we requesting this. We have an urgent request from user end to fulfill this request. 

Could you please set up the following file transfer: 

source server : agf03 
pattern:??????????????_BIFI_PROD_PRIMA_MC_DV_MCaa 
destination server:biaa-sg-prod.srv.allianz 
directory:SLA06491: /project/bifr/azfronebi/run/daisy/in 

Please reach us if you have any queries @ PAAS-SAS-CLASSIC-OPERATIONS@allianz.com

Thank you
Regards,
D Srinivasulu
16.01.2019 12:59:31   oulyp8i
   Pattern created. Please send a file.",AZ France, SAS Others
INC3366616,Login failure -sla06491,AZTEC.GAP.PAAS-SAS-CL-2ND,"Dear Team,
Thanks for the update and now we're able to login as expected.
",AZ Reinsurance, SAS Access Issue
INC2693708,Service Request -CMO-,AZTEC.GAP.PAAS-SAS-CL-2ND,"27.02.2019 15:51:47   ykwh77a
   Name:                        Dasaganipalle Srinivasulu
Phone:                       +49 89 3800
Dear Team,
Please restore the file as per attachment.
Thank you.
Regards,
D Srinivasulu
27.02.2019 17:14:26   ks4qzk5
   Name:                        Kishore Inala
Phone:                       +49 89 3800
Subsequent log entry: /  Nachgereichte Info: Please order Restore from IBM, as the backup via? CV distributed App? took place.
28.02.2019 10:10:50   vd4amee
   Restore executed successfully from CommVault.

Source Path
/var/opt/data/data_project/bisit/bin/LOE

Destination Path
/var/opt/data/data_project/bisit/restore",AZ Germany, SAS Service Requests
INC2571058,Service Request -CMO-,AZTEC.GAP.PAAS-SAS-CL-2ND,"Thanks for the update and we're closing this request.
Same we communicated user via email.",AZ Technology, SAS Service Requests
INC2570928,Service Request -CMO-,AZTEC.GAP.PAAS-SAS-CL-2ND,"Thanks for the update and we're closing this request.
Same we communicated user via email.",AZ Germany, SAS Service Requests
INC3019967,Server-Reboot and GPFS issue ,AZTEC.GAP.PAAS-SAS-CL-2ND,"Dear Team,
We're have raised Problem ticket for RCA. So we're closing this ticket.
Thank you.
Regards,
D Srinivasulu",AZ Benelux, SAS GPFS
INC2571048,Service Request -CMO-,AZTEC.GAP.PAAS-SAS-CL-2ND,"Thanks for the update and we're closing this request.
Same we communicated user via email.",AZ Germany, SAS Service Requests
INC2507457,Create Connect Direct Connection,AZTEC.GAP.PAAS-SAS-CL-2ND,"16.01.2019 11:29:16   ykwh77a
   Name:                        Dasaganipalle Srinivasulu
Phone:                       +49 89 3800
Dear Team, 

On behalf of user side we requesting this. We have an urgent request from user end to fulfill this request. 

Could you please set up the following file transfer: 

source server : agf02 
pattern:??????????????_BIFI_FIT_PRIMA_MC_DV_MCaa 


destination server:biab-sg-int.srv.allianz 
directory:/project/bifr/azfronebi2/run/daisy/in 

Please reach us if you have any queries @ PAAS-SAS-CLASSIC-OPERATIONS@allianz.com. 

Thank you
Regards,
D Srinivasulu
16.01.2019 11:42:27   oulyp8i
   Pattern created. Please send a file.",AZ France, SAS Others
INC2664715,AZD 9.4 DEV Environment - kfrar008.srv.Allianz,AZTEC.GAP.PAAS-SAS-CL-2ND,Resolved,AZ Germany, SAS Others
INC3128552,Globi server,AZTEC.GAP.PAAS-SAS-CL-2ND,"Dear Team,
Issue is no more exist. Please find the latest communication email from user.
So we're closing this ticket.
Thank you
Regards,
D Srinivasulu",AZ Benelux, SAS Performance
INC2694326,Service Request -CMO-,AZTEC.GAP.PAAS-SAS-CL-2ND,"27.02.2019 15:44:54   ykwh77a
   Name:                        Dasaganipalle Srinivasulu
Phone:                       +49 89 3800
Dear Team,
Please restore the file as per attachment.
Thank you.
Regards,
D Srinivasulu
28.02.2019 11:20:37   vd4amee
   Restore executed successfully from CommVault.

Source Path
/var/opt/data/data_project/bisfb/src/p/adhoc/branchenuebergreifend/ele_eiopa_2019/kraft_neu_vdienst/GA_ABSI.sas

Destination Path
/var/opt/data/data_project/bisfb/src/p/adhoc/branchenuebergreifend/ele_eiopa_2019/kraft_neu_vdienst/restore",AZ Germany, SAS Service Requests
INC2838179,Service Request: Information about server and corresponding scripts,AZTEC.GAP.PAAS-SAS-CL-2ND,We have raised SR for this.,AZ Benelux, SAS Service Requests
INC2831620,mmcheckquota,AZTEC.GAP.PAAS-SAS-CL-2ND,Thanks for the update and we're closing this ticket.,AZ Technology, SAS Others
INC2656526,sla22247 GPFS - Stale file handle,AZTEC.GAP.PAAS-SAS-CL-2ND,"Dear Team,
Thanks for the update, It looks now working as confirmed by Andrey.
We're closing this ticket.
Regards,
D Srinivasulu",AZ Germany, SAS GPFS
INC2955148,GPFS stale -sla08903.srv.allianz,AZTEC.GAP.PAAS-SAS-CL-2ND,"Dear Team,
Thanks for the update, Our SAS Services are up and running.
We'll raise Problem ticket for RCA.
So we're closing this ticket.
Thank you
Regards,
D Srinivasulu",AZ Asia Pacific, SAS GPFS
INC2694194,Service Request -CMO-,AZTEC.GAP.PAAS-SAS-CL-2ND,"27.02.2019 15:40:49   ykwh77a
   Name:                        Dasaganipalle Srinivasulu
Phone:                       +49 89 3800
Dear Team,
please restore the file as per attachment.
Thank you.
Regards,
D Srinivasulu
27.02.2019 17:12:20   ks4qzk5
   Name:                        Kishore Inala
Phone:                       +49 89 3800
Subsequent log entry: /  Nachgereichte Info: Please use ComVault! (""CV distributed App"");If possible please send me the log to get sure, that ComVault is used.
28.02.2019 11:10:36   vd4amee
   Restore executed successfully from CommVault.

Source Path
/var/opt/data/data_project/etlight/bin/app/ESA/ESA.conf

Destination Path
/var/opt/data/data_project/etlight/bin/app/ESA/restore",AZ Germany, SAS Service Requests
INC3420011,Issues with SAS production,AZTEC.GAP.PAAS-SAS-CL-2ND,The issue has been resolved,AZ Reinsurance, SAS Access Issue
INC2653423,SAS - Application Virtualization Fehler - Anwendung startet nicht,AZTEC.GAP.PAAS-SAS-CL-2ND,Advised user to re-install the SAS EG by contacting his local IT team (email attached).,AZ Germany, SAS AVC Client Issue - Vitualization
INC2472348,SAS - Enterprise Guide Server nicht gefunden,AZTEC.GAP.PAAS-SAS-CL-2ND,"User SAS metadata profile was in inactive mode. The issue was resolved after making in active mode. 
As per user confirmation the issue is no more exist.",AZ Germany, SAS Access Issue
INC3818113,Kein Zugriff auf Server,AZTEC.GAP.PAAS-SAS-CL-2ND,"Incident Description: Storedprocess was not opening for smartd7 project on INT stage.
Incident Type: Server issue
Resolution Steps: After restarting object spwaner it worked fine and same has been confirmed by user over email.",AZ Germany, SAS Platform Access/Availability
INC2480322,Win7 - SAS Integration öffnet nicht - Stored Process Fehler,AZTEC.GAP.PAAS-SAS-CL-2ND,"issue resolved after restarting the Object Spawner of smartd7. 

This issue happened due to the App1 is not reachable, due to backup utilized high CPU.

",AZ Germany, SAS Server Issue
INC3667709,Win7 - SAS Stored process server problem.,AZTEC.GAP.PAAS-SAS-CL-2ND,Resolved,AZ Germany, SAS Server Issue
INC4092035,WinSCP startet nicht,AZTEC.GAP.PAAS-SAS-CL-2ND,"Description : error in winscp
Type : Others
Resolution : when clicking directly, user is able to open the application",AZ Germany, SAS Others
INC2587803,ServiceNow ticket  SAS 7.13 no access BIFI,AZTEC.GAP.PAAS-SAS-CL-2ND,"Dear Stephane,
Thanks for the confirmation, I'm glad that you're again working in SAS EG.
We're closing this ticket, Please reach us if you have any queries @ PAAS-SAS-CLASSIC-OPERATIONS@allianz.com.
Resolution : Reset of SAS App Sense profile.
Thank you.
Kind Regards,
D Srinivasulu
",AZ Benelux, SAS Access Issue
INC3010566,Issue with an access at SAS Guide on AzTech Machina - RICORDS,AZTEC.GAP.PAAS-SAS-CL-2ND,"User access is ok now. Upon user confirmation, we are closing this ticket",AZ Germany, SAS Access Issue
INC2876162,SAS Report CB07 parameters not saved,AZTEC.GAP.PAAS-SAS-CL-2ND,Advised user to change the WS Close date range values the CB07 report while running the report.,AZ Reinsurance, SAS Others
INC2805880,unable to run SAS FC05 report - ,AZTEC.GAP.PAAS-SAS-CL-2ND,"Dear Team, 
Issue has been resolved and user able to run the queries. It may be the temp issue. 
We're closing this ticket. 
Regards, 
D Srinivasulu",AZ Reinsurance, SAS Access Issue
INC3813295,GPFS Panic on AZD prod,AZTEC.GAP.PAAS-SAS-CL-2ND,"Description: GPFS Panic on AZD prod
Incident Type :GPFS issue
Resolution Steps :The error is related to change CHG0120556. Due to big workload caused by application recovery group switching was not handled properly by Spectrum Scale. For now the cluster is stable, all filesystems are available.",AZ Germany, SAS Platform Access/Availability
INC3477897,This is a reference incident  to a problem ticket for GPFS issue occurred on ibifi-sas94-app6-prod.srv.allianz,AZTEC.GAP.PAAS-SAS-CL-2ND,Closing this incident as this is a reference incident for a problem ticket.,AZ Technology, SAS GPFS
INC3431351,Job not getting execute,AZTEC.GAP.PAAS-SAS-CL-2ND,"Dear Team,
waiting occurrences have been canceled, job has been unblocked, job should run as per next schedule 8/16/2019 10:00:00 PM
Regards",AZ Technology,
INC4068413,Italy users onboarding to the  SAS PaaS Platform,AZTEC.GAP.PAAS-SAS-CL-2ND,"Incident Description: Italy users onboarding to the  SAS PaaS Platform
Issue Type: Service Request
Resolution Description: All the users have been onboarded as requested",AZ Technology, SAS Service Requests
INC4199609,False Alerts in Grafana,AZTEC.GAP.PAAS-SAS-CL-2ND,"Incident Description: False Alerts in Grafana .
Issue Type: Grafana issue
Resolution Steps: Issue was related to 2 different  Python version on RH6 and RH7. Now Grafana is working as expected.
",AZ Technology, SAS Grafana Alert
INC3924993,Backup Job Summary Report - SAS-BIFI Backup Status - E21P,AZTEC.GAP.PAAS-SAS-CL-2ND,"Incident Description: Backup Job Summary Report - SAS-BIFI Backup Status - E21P
Incident Type: SAS Backup
Resolution Steps: This Error occurred as, some files are not getting backed up which are in use at the time of backup. Now backup jobs are running fine.",AZ Technology, sas configuration
